Gene stable ID	Gene stable ID version	NCBI gene ID	HGNC symbol
ENSG00000210049	ENSG00000210049.1		MT-TF
ENSG00000211459	ENSG00000211459.2	4549	MT-RNR1
ENSG00000210077	ENSG00000210077.1		MT-TV
ENSG00000210082	ENSG00000210082.2	4550	MT-RNR2
ENSG00000209082	ENSG00000209082.1		MT-TL1
ENSG00000198888	ENSG00000198888.2	4535	MT-ND1
ENSG00000210100	ENSG00000210100.1		MT-TI
ENSG00000210107	ENSG00000210107.1		MT-TQ
ENSG00000210112	ENSG00000210112.1		MT-TM
ENSG00000198763	ENSG00000198763.3	4536	MT-ND2
ENSG00000210117	ENSG00000210117.1		MT-TW
ENSG00000210127	ENSG00000210127.1		MT-TA
ENSG00000210135	ENSG00000210135.1		MT-TN
ENSG00000210140	ENSG00000210140.1		MT-TC
ENSG00000210144	ENSG00000210144.1		MT-TY
ENSG00000198804	ENSG00000198804.2	4512	MT-CO1
ENSG00000210151	ENSG00000210151.2		MT-TS1
ENSG00000210154	ENSG00000210154.1		MT-TD
ENSG00000198712	ENSG00000198712.1	4513	MT-CO2
ENSG00000210156	ENSG00000210156.1		MT-TK
ENSG00000228253	ENSG00000228253.1	4509	MT-ATP8
ENSG00000198899	ENSG00000198899.2	4508	MT-ATP6
ENSG00000198938	ENSG00000198938.2	4514	MT-CO3
ENSG00000210164	ENSG00000210164.1		MT-TG
ENSG00000198840	ENSG00000198840.2	4537	MT-ND3
ENSG00000210174	ENSG00000210174.1		MT-TR
ENSG00000212907	ENSG00000212907.2	4539	MT-ND4L
ENSG00000198886	ENSG00000198886.2	4538	MT-ND4
ENSG00000210176	ENSG00000210176.1		MT-TH
ENSG00000210184	ENSG00000210184.1		MT-TS2
ENSG00000210191	ENSG00000210191.1		MT-TL2
ENSG00000198786	ENSG00000198786.2	4540	MT-ND5
ENSG00000198695	ENSG00000198695.2	4541	MT-ND6
ENSG00000210194	ENSG00000210194.1		MT-TE
ENSG00000198727	ENSG00000198727.2	4519	MT-CYB
ENSG00000210195	ENSG00000210195.2		MT-TT
ENSG00000210196	ENSG00000210196.2		MT-TP
ENSG00000253620	ENSG00000253620.2		
ENSG00000232475	ENSG00000232475.1		HSFY5P
ENSG00000260949	ENSG00000260949.1		
ENSG00000223968	ENSG00000223968.1		
ENSG00000258712	ENSG00000258712.2		CXADRP2
ENSG00000223475	ENSG00000223475.1		
ENSG00000226908	ENSG00000226908.1		HIST1H2BPS3
ENSG00000254040	ENSG00000254040.1		
ENSG00000184661	ENSG00000184661.13	157313	CDCA2
ENSG00000197990	ENSG00000197990.6		ZNF734P
ENSG00000254266	ENSG00000254266.5	101927003	PKIA-AS1
ENSG00000237208	ENSG00000237208.1	101928495	
ENSG00000009954	ENSG00000009954.10	9031	BAZ1B
ENSG00000131386	ENSG00000131386.17	117248	GALNT15
ENSG00000136999	ENSG00000136999.4	4856	NOV
ENSG00000272173	ENSG00000272173.1		
ENSG00000134291	ENSG00000134291.11	79022	TMEM106C
ENSG00000238358	ENSG00000238358.2		
ENSG00000240990	ENSG00000240990.9	221883	HOXA11-AS
ENSG00000258001	ENSG00000258001.1		
ENSG00000278389	ENSG00000278389.1		
ENSG00000230441	ENSG00000230441.1		UBQLN1P1
ENSG00000262953	ENSG00000262953.1		EIF4A1P9
ENSG00000254819	ENSG00000254819.1		
ENSG00000275223	ENSG00000275223.1		
ENSG00000256892	ENSG00000256892.2	100288485	MTRNR2L7
ENSG00000235821	ENSG00000235821.1		IFITM4P
ENSG00000267201	ENSG00000267201.1	101928602	LINC01775
ENSG00000251074	ENSG00000251074.1		
ENSG00000091986	ENSG00000091986.15	151887	CCDC80
ENSG00000241505	ENSG00000241505.1		
ENSG00000161904	ENSG00000161904.11	221496	LEMD2
ENSG00000198015	ENSG00000198015.12	28977	MRPL42
ENSG00000180353	ENSG00000180353.10	3059	HCLS1
ENSG00000226466	ENSG00000226466.2		RPA2P2
ENSG00000229097	ENSG00000229097.1		CALM2P2
ENSG00000187812	ENSG00000187812.12		
ENSG00000204267	ENSG00000204267.13	6891	TAP2
ENSG00000149541	ENSG00000149541.9	26229	B3GAT3
ENSG00000105664	ENSG00000105664.10	1311	COMP
ENSG00000136381	ENSG00000136381.12	3658	IREB2
ENSG00000259945	ENSG00000259945.1		
ENSG00000174292	ENSG00000174292.12	8711	TNK1
ENSG00000131584	ENSG00000131584.18	116983	ACAP3
ENSG00000254836	ENSG00000254836.1		
ENSG00000237457	ENSG00000237457.6		LINC01351
ENSG00000272128	ENSG00000272128.1		
ENSG00000235436	ENSG00000235436.10	442523	DPY19L2P4
ENSG00000226041	ENSG00000226041.1		
ENSG00000228061	ENSG00000228061.5		
ENSG00000253396	ENSG00000253396.1	105379391	
ENSG00000253896	ENSG00000253896.3		
ENSG00000079332	ENSG00000079332.14	56681	SAR1A
ENSG00000213846	ENSG00000213846.5		
ENSG00000272236	ENSG00000272236.1		
ENSG00000261405	ENSG00000261405.2		
ENSG00000230132	ENSG00000230132.1		
ENSG00000243417	ENSG00000243417.1		
ENSG00000271578	ENSG00000271578.1		
ENSG00000229553	ENSG00000229553.1		USP9YP17
ENSG00000240669	ENSG00000240669.1		
ENSG00000280271	ENSG00000280271.1		
ENSG00000039523	ENSG00000039523.19	79567	RIPOR1
ENSG00000175189	ENSG00000175189.3	3626	INHBC
ENSG00000270896	ENSG00000270896.1		
ENSG00000198354	ENSG00000198354.6	340578	DCAF12L2
ENSG00000164740	ENSG00000164740.5		SEPT7P5
ENSG00000258767	ENSG00000258767.1		
ENSG00000271943	ENSG00000271943.1		
ENSG00000279614	ENSG00000279614.1		
ENSG00000111676	ENSG00000111676.14	1822	ATN1
ENSG00000157214	ENSG00000157214.13	261729	STEAP2
ENSG00000225938	ENSG00000225938.1		
ENSG00000228876	ENSG00000228876.1		
ENSG00000272398	ENSG00000272398.5	100133941	CD24
ENSG00000214745	ENSG00000214745.2		
ENSG00000254193	ENSG00000254193.1		
ENSG00000282086	ENSG00000282086.1		PKD1P6
ENSG00000227486	ENSG00000227486.1		
ENSG00000232766	ENSG00000232766.1		
ENSG00000168778	ENSG00000168778.11	79867	TCTN2
ENSG00000253612	ENSG00000253612.1		WBP1LP3
ENSG00000272282	ENSG00000272282.1		LINC02084
ENSG00000162882	ENSG00000162882.14	23498	HAAO
ENSG00000236674	ENSG00000236674.1		
ENSG00000231266	ENSG00000231266.1		
ENSG00000266338	ENSG00000266338.6	284565	NBPF15
ENSG00000176269	ENSG00000176269.3	441308	OR4F21
ENSG00000197992	ENSG00000197992.6	283420	CLEC9A
ENSG00000228645	ENSG00000228645.2		PHKG1P2
ENSG00000255252	ENSG00000255252.3		
ENSG00000258848	ENSG00000258848.1		GRAMD4P6
ENSG00000171033	ENSG00000171033.12	5569	PKIA
ENSG00000255490	ENSG00000255490.1		EIF4A2P5
ENSG00000232444	ENSG00000232444.1		
ENSG00000255464	ENSG00000255464.1		SEPT14P8
ENSG00000136244	ENSG00000136244.11	3569	IL6
ENSG00000005073	ENSG00000005073.5	3207	HOXA11
ENSG00000254627	ENSG00000254627.1		
ENSG00000253166	ENSG00000253166.2		
ENSG00000101337	ENSG00000101337.15	9777	TM9SF4
ENSG00000224400	ENSG00000224400.5		
ENSG00000160194	ENSG00000160194.17	4731	NDUFV3
ENSG00000267480	ENSG00000267480.1		
ENSG00000253398	ENSG00000253398.1		
ENSG00000106571	ENSG00000106571.12	2737	GLI3
ENSG00000253508	ENSG00000253508.1		
ENSG00000134339	ENSG00000134339.8	6289	SAA2
ENSG00000120659	ENSG00000120659.14	8600	TNFSF11
ENSG00000198105	ENSG00000198105.13	57209	ZNF248
ENSG00000256626	ENSG00000256626.1		
ENSG00000234267	ENSG00000234267.3		TULP3P1
ENSG00000233977	ENSG00000233977.1		
ENSG00000072657	ENSG00000072657.8	29953	TRHDE
ENSG00000231394	ENSG00000231394.1		
ENSG00000261427	ENSG00000261427.6		
ENSG00000007372	ENSG00000007372.21	5080	PAX6
ENSG00000234844	ENSG00000234844.1		CDC42P2
ENSG00000161179	ENSG00000161179.13	150223	YDJC
ENSG00000196620	ENSG00000196620.9	7366	UGT2B15
ENSG00000272329	ENSG00000272329.1		
ENSG00000278522	ENSG00000278522.4	102723502	POTEB3
ENSG00000278522	ENSG00000278522.4	102724631	POTEB3
ENSG00000261759	ENSG00000261759.1		
ENSG00000180730	ENSG00000180730.4	387914	SHISA2
ENSG00000103528	ENSG00000103528.16	51760	SYT17
ENSG00000223508	ENSG00000223508.5		RPL23AP53
ENSG00000137204	ENSG00000137204.14	10864	SLC22A7
ENSG00000231393	ENSG00000231393.1		
ENSG00000137101	ENSG00000137101.12	971	CD72
ENSG00000254104	ENSG00000254104.2		
ENSG00000282091	ENSG00000282091.1	100505915	
ENSG00000272240	ENSG00000272240.1		
ENSG00000172748	ENSG00000172748.13	169270	ZNF596
ENSG00000235944	ENSG00000235944.8		ZNF815P
ENSG00000130299	ENSG00000130299.16	84705	GTPBP3
ENSG00000114270	ENSG00000114270.17	1294	COL7A1
ENSG00000279345	ENSG00000279345.1		
ENSG00000100425	ENSG00000100425.18	23774	BRD1
ENSG00000241738	ENSG00000241738.1		ZNF90P1
ENSG00000282978	ENSG00000282978.1		
ENSG00000188257	ENSG00000188257.10	5320	PLA2G2A
ENSG00000138468	ENSG00000138468.15	57337	SENP7
ENSG00000267281	ENSG00000267281.2		
ENSG00000185313	ENSG00000185313.6	6336	SCN10A
ENSG00000275488	ENSG00000275488.1		
ENSG00000170653	ENSG00000170653.18	11016	ATF7
ENSG00000111678	ENSG00000111678.10	113246	C12orf57
ENSG00000228850	ENSG00000228850.1		CDY12P
ENSG00000179428	ENSG00000179428.2	541472	
ENSG00000266613	ENSG00000266613.1		RFWD2P1
ENSG00000232029	ENSG00000232029.1		ELOCP15
ENSG00000280215	ENSG00000280215.1		
ENSG00000262481	ENSG00000262481.5		TMEM256-PLSCR3
ENSG00000229442	ENSG00000229442.2		THEMIS3P
ENSG00000225212	ENSG00000225212.4		AKR1B1P6
ENSG00000243766	ENSG00000243766.7		HOTTIP
ENSG00000254334	ENSG00000254334.1	101929172	
ENSG00000068781	ENSG00000068781.21	286749	STON1-GTF2A1L
ENSG00000231013	ENSG00000231013.1	107105282	
ENSG00000169807	ENSG00000169807.10	442862	PRY2
ENSG00000261401	ENSG00000261401.1		
ENSG00000261561	ENSG00000261561.1		
ENSG00000237850	ENSG00000237850.7		
ENSG00000255839	ENSG00000255839.1		
ENSG00000106031	ENSG00000106031.7	3209	HOXA13
ENSG00000160233	ENSG00000160233.7	81543	LRRC3
ENSG00000080293	ENSG00000080293.9	6344	SCTR
ENSG00000213721	ENSG00000213721.3		HMGN2P30
ENSG00000235868	ENSG00000235868.3		GAPDHP31
ENSG00000280346	ENSG00000280346.1		
ENSG00000163508	ENSG00000163508.12	8320	EOMES
ENSG00000279226	ENSG00000279226.1		
ENSG00000278927	ENSG00000278927.1		
ENSG00000117118	ENSG00000117118.9	6390	SDHB
ENSG00000240687	ENSG00000240687.1		
ENSG00000227212	ENSG00000227212.3		PFN1P6
ENSG00000244260	ENSG00000244260.1		
ENSG00000215296	ENSG00000215296.10		TMCO5B
ENSG00000278216	ENSG00000278216.3	79799	UGT2A3
ENSG00000273529	ENSG00000273529.2	388585	HES5
ENSG00000099860	ENSG00000099860.8	4616	GADD45B
ENSG00000232978	ENSG00000232978.2		
ENSG00000255993	ENSG00000255993.1		PSMC1P9
ENSG00000255648	ENSG00000255648.1		
ENSG00000139151	ENSG00000139151.14	89869	PLCZ1
ENSG00000168546	ENSG00000168546.10	2675	GFRA2
ENSG00000272842	ENSG00000272842.1		
ENSG00000205544	ENSG00000205544.3	254863	TMEM256
ENSG00000226578	ENSG00000226578.1		
ENSG00000111247	ENSG00000111247.14	10635	RAD51AP1
ENSG00000260137	ENSG00000260137.1		
ENSG00000228828	ENSG00000228828.1		TLK2P2
ENSG00000137145	ENSG00000137145.20	55667	DENND4C
ENSG00000236514	ENSG00000236514.1		
ENSG00000225192	ENSG00000225192.1		ZNF33BP1
ENSG00000236333	ENSG00000236333.3		TRHDE-AS1
ENSG00000214660	ENSG00000214660.6		SLC29A4P2
ENSG00000278703	ENSG00000278703.1		
ENSG00000230916	ENSG00000230916.2		MTCO1P53
ENSG00000237633	ENSG00000237633.2		
ENSG00000231501	ENSG00000231501.1		MTND4LP1
ENSG00000186136	ENSG00000186136.1	353164	TAS2R42
ENSG00000266995	ENSG00000266995.1		
ENSG00000260840	ENSG00000260840.1	100996478	LINC01964
ENSG00000161180	ENSG00000161180.10	164592	CCDC116
ENSG00000256657	ENSG00000256657.1		
ENSG00000122543	ENSG00000122543.10	654231	OCM
ENSG00000275119	ENSG00000275119.1		
ENSG00000232177	ENSG00000232177.1		MTND4P24
ENSG00000139287	ENSG00000139287.12	121278	TPH2
ENSG00000241923	ENSG00000241923.2		RPL14P3
ENSG00000223566	ENSG00000223566.1		TNRC18P2
ENSG00000235463	ENSG00000235463.1		
ENSG00000153130	ENSG00000153130.17	60592	SCOC
ENSG00000274901	ENSG00000274901.1		
ENSG00000198889	ENSG00000198889.4	139170	DCAF12L1
ENSG00000275576	ENSG00000275576.1		
ENSG00000187838	ENSG00000187838.16	57048	PLSCR3
ENSG00000225787	ENSG00000225787.1		LSM3P3
ENSG00000255071	ENSG00000255071.3	100528017	SAA2-SAA4
ENSG00000273342	ENSG00000273342.1		
ENSG00000277177	ENSG00000277177.4	79168	LILRA6
ENSG00000181126	ENSG00000181126.13	352962	HLA-V
ENSG00000234135	ENSG00000234135.2		RPL23AP83
ENSG00000179813	ENSG00000179813.6	144809	FAM216B
