ENSG	NCBI	HGNCID	chr	uniprot	symbol	name
ENSG00000110881	41	HGNC:100	12q13.12	P78348	ASIC1	acid sensing ion channel subunit 1
ENSG00000117152	5999	HGNC:10000	1q23.3	P49798	RGS4	regulator of G protein signaling 4
ENSG00000143248	8490	HGNC:10001	1q23.3	O15539	RGS5	regulator of G protein signaling 5
ENSG00000182732	9628	HGNC:10002	14q24.2	P49758	RGS6	regulator of G protein signaling 6
ENSG00000182901	6000	HGNC:10003	1q43	P49802	RGS7	regulator of G protein signaling 7
ENSG00000108370	8787	HGNC:10004	17q24.1	O75916	RGS9	regulator of G protein signaling 9
ENSG00000112077	6005	HGNC:10006	6p12.3	Q02094	RHAG	Rh associated glycoprotein
ENSG00000103269	9028	HGNC:10007	16p13.3	O75783	RHBDL1	rhomboid like 1
ENSG00000188672	6006	HGNC:10008	1p36.11	P18577	RHCE	Rh blood group CcEe antigens
ENSG00000187010	6007	HGNC:10009	1p36.11	Q02161	RHD	Rh blood group D antigen
ENSG00000113916	604	HGNC:1001	3q27.3	P41182	BCL6	B cell CLL/lymphoma 6
ENSG00000106615	6009	HGNC:10011	7q36.1	Q15382	RHEB	Ras homolog, mTORC1 binding
ENSG00000163914	6010	HGNC:10012	3q22.1	P08100	RHO	rhodopsin
ENSG00000185974	6011	HGNC:10013	13q34	Q15835	GRK1	G protein-coupled receptor kinase 1
ENSG00000152214	6014	HGNC:10017	18q12.3	Q99578	RIT2	Ras like without CAAX 2
ENSG00000204227	6015	HGNC:10018	6p21.32	Q06587	RING1	ring finger protein 1
ENSG00000137275	8737	HGNC:10019	6p25.2	Q13546	RIPK1	receptor interacting serine/threonine kinase 1
ENSG00000161940	255877	HGNC:1002	17p13.1	Q8N143	BCL6B	B cell CLL/lymphoma 6B
ENSG00000104312	8767	HGNC:10020	8q21.3	O43353	RIPK2	receptor interacting serine/threonine kinase 2
ENSG00000129465	11035	HGNC:10021	14q12	Q9Y572	RIPK3	receptor interacting serine/threonine kinase 3
ENSG00000143622	6016	HGNC:10023	1q22	Q92963	RIT1	Ras like without CAAX 1
ENSG00000140522	6017	HGNC:10024	15q26.1	P12271	RLBP1	retinaldehyde binding protein 1
ENSG00000117000	6018	HGNC:10025	1p34.2	Q13129	RLF	rearranged L-myc fusion
ENSG00000107018	6013	HGNC:10026	9p24.1	P04808	RLN1	relaxin 1
ENSG00000107014	6019	HGNC:10027	9p24.1	P04090	RLN2	relaxin 2
ENSG00000110987	605	HGNC:1004	12q24.31	Q4VC05	BCL7A	BCL tumor suppressor 7A
ENSG00000129538	6035	HGNC:10044	14q11.2	P07998	RNASE1	ribonuclease A family member 1, pancreatic
ENSG00000169385	6036	HGNC:10045	14q11.2	P10153	RNASE2	ribonuclease A family member 2
ENSG00000169397	6037	HGNC:10046	14q11.2	P12724	RNASE3	ribonuclease A family member 3
ENSG00000258818	6038	HGNC:10047	14q11.2	P34096	RNASE4	ribonuclease A family member 4
ENSG00000169413	6039	HGNC:10048	14q11.2	Q93091	RNASE6	ribonuclease A family member k6
ENSG00000106635	9275	HGNC:1005	7q11.23	Q9BQE9	BCL7B	BCL tumor suppressor 7B
ENSG00000135828	6041	HGNC:10050	1q25.3	Q05823	RNASEL	ribonuclease L
ENSG00000022840	9921	HGNC:10055	12q24.31	Q8N5U6	RNF10	ring finger protein 10
ENSG00000123091	26994	HGNC:10056	1p32.3	Q9Y3C5	RNF11	ring finger protein 11
ENSG00000082996	11342	HGNC:10057	3q25.1	O43567	RNF13	ring finger protein 13
ENSG00000013561	9604	HGNC:10058	5q31.3	Q9UBS8	RNF14	ring finger protein 14
ENSG00000112343	10475	HGNC:10059	6p22.2	O00635	TRIM38	tripartite motif containing 38
ENSG00000099385	9274	HGNC:1006	16p11.2	Q8WUZ0	BCL7C	BCL tumor suppressor 7C
ENSG00000132972	56163	HGNC:10060	13q12.12	Q9BXT8	RNF17	ring finger protein 17
ENSG00000121481	6045	HGNC:10061	1q25.3	Q99496	RNF2	ring finger protein 2
ENSG00000155827	56254	HGNC:10062	9q31.1	Q5VTR2	RNF20	ring finger protein 20
ENSG00000258659	53840	HGNC:10063	11p15.4	Q9BYJ4	TRIM34	tripartite motif containing 34
ENSG00000110171	10612	HGNC:10064	11p15.4	O75382	TRIM3	tripartite motif containing 3
ENSG00000204599	56658	HGNC:10065	6p22.1	Q9HCM9	TRIM39	tripartite motif containing 39
ENSG00000185619	10336	HGNC:10066	4p16.3	Q3KNV8	PCGF3	polycomb group ring finger 3
ENSG00000063978	6047	HGNC:10067	4p16.3	P78317	RNF4	ring finger protein 4
ENSG00000204308	6048	HGNC:10068	6p21.32	Q99942	RNF5	ring finger protein 5
